"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2019,"CO","Colorado","Grand","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.6,NA,NA,4.9,6.3,15734,8049,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-106.1174119 40.10265772)"
2019,"AR","Arkansas","Howard","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.8,NA,NA,8.1,9.5,13202,5061,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-93.99348622 34.08863063)"
2019,"AL","Alabama","Colbert","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.2,NA,NA,7.6,9,55241,1033,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.80480288 34.70084917)"
2019,"AL","Alabama","Cullman","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.7,NA,NA,6.1,7.3,83768,1043,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.8671365 34.13199197)"
2019,"AK","Alaska","Nome","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,NA,NA,6.9,8.1,10004,2180,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-164.0327478 64.91045824)"
2019,"CO","Colorado","Park","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.6,NA,NA,4.2,5,18845,8093,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-105.7164996 39.11978797)"
2019,"AR","Arkansas","Lincoln","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.6,NA,NA,7.1,8.2,13024,5079,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-91.73312526 33.95746845)"
2019,"AZ","Arizona","Cochise","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,NA,NA,7,8.1,125922,4003,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-109.751401 31.87949959)"
2019,"AR","Arkansas","Boone","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9,NA,NA,8.2,9.9,37432,5009,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-93.09130789 36.30867994)"
2019,"AR","Arkansas","Searcy","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.3,8.6,7881,5129,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-92.69953421 35.91104278)"
2019,"CO","Colorado","Kiowa","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.8,NA,NA,7.1,8.6,1406,8061,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-102.7405008 38.43289762)"
2019,"CO","Colorado","Cheyenne","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5,NA,NA,4.5,5.4,1831,8017,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-102.6036384 38.82780819)"
2019,"CA","California","Solano","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.7,NA,NA,4.4,5,447643,6095,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-121.9320733 38.27061842)"
2019,"AZ","Arizona","Mohave","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.1,NA,NA,5.6,6.6,212181,4015,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-113.7582468 35.70432399)"
2019,"AR","Arkansas","Lincoln","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8,NA,NA,7.4,8.6,13024,5079,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-91.73312526 33.95746845)"
2019,"AR","Arkansas","Nevada","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.4,NA,NA,8.7,10,8252,5099,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-93.30711084 33.66372397)"
2019,"AK","Alaska","Kodiak Island","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.9,NA,NA,4.6,5.2,12998,2150,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-153.7816117 57.66814491)"
2019,"AR","Arkansas","Cleburne","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.3,NA,NA,9.3,11.5,24919,5023,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-92.02657971 35.5386039)"
2019,"AR","Arkansas","Miller","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7,NA,NA,6.5,7.5,43257,5091,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-93.89206062 33.31104739)"
2019,"CO","Colorado","Pitkin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.7,NA,NA,4.2,5.3,17767,8097,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-106.9159741 39.21744595)"
2019,"CA","California","Tehama","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.7,NA,NA,7.1,8.4,65084,6103,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-122.2337288 40.12516798)"
2019,"AL","Alabama","Coffee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.3,NA,NA,5.8,6.9,52342,1031,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.98828821 31.40188396)"
2019,"AR","Arkansas","Hempstead","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.1,NA,NA,6.7,7.7,21532,5057,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-93.66829193 33.73525161)"
2019,"AL","Alabama","Winston","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.5,NA,NA,6.8,8.3,23629,1133,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.37360952 34.14919919)"
2019,"AL","Alabama","Houston","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.6,NA,NA,6.1,7.1,105882,1069,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.30249702 31.15350797)"
2019,"AL","Alabama","Pike","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.8,NA,NA,6.3,7.3,33114,1109,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.94116812 31.80252217)"
2019,"AR","Arkansas","Columbia","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.3,NA,NA,6.9,7.9,23457,5027,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-93.22734359 33.21420367)"
2019,"CA","California","Sonoma","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.6,NA,NA,4.2,5,494336,6097,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-122.8876375 38.52854399)"
2019,"CA","California","Madera","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.9,NA,NA,5.5,6.3,157327,6039,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-119.7627487 37.2182163)"
2019,"AL","Alabama","Marengo","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.1,NA,NA,8.5,9.8,18863,1091,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.78897342 32.24802803)"
2019,"AR","Arkansas","Pulaski","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.1,NA,NA,5.6,6.6,391911,5119,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-92.31181185 34.76991477)"
2019,"AL","Alabama","Randolph","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.8,NA,NA,6.2,7.4,22722,1111,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.45907232 33.29367147)"
2019,"AK","Alaska","Petersburg","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.2,NA,NA,4.7,5.6,3266,2195,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-133.2863383 56.81190828)"
2019,"AK","Alaska","Juneau","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.6,NA,NA,4.3,5,31974,2110,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-134.1828501 58.45102839)"
2019,"AR","Arkansas","Ashley","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.5,NA,NA,8.7,10.1,19657,5003,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-91.76816623 33.19113397)"
2019,"CO","Colorado","Gilpin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,NA,NA,4.6,5.7,6243,8047,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-105.5224457 39.85718515)"
2019,"AL","Alabama","Marion","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.1,NA,NA,6.5,7.8,29709,1093,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.88740512 34.13691691)"
2019,"AR","Arkansas","Union","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.5,NA,NA,7.8,9.1,38682,5139,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-92.59714252 33.17138124)"
2019,"AR","Arkansas","Columbia","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.3,NA,NA,7.8,9,23457,5027,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-93.22734359 33.21420367)"
2019,"AK","Alaska","Northwest Arctic","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",9.4,NA,NA,8.7,10.1,7621,2188,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-159.7201294 67.05603596)"
2019,"AL","Alabama","Chilton","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.1,NA,NA,6.5,7.7,44428,1021,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.71886671 32.84755922)"
2019,"AZ","Arizona","Gila","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.5,NA,NA,6.1,7,54018,4007,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-110.8132413 33.80040568)"
2019,"AL","Alabama","Monroe","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.5,NA,NA,7.1,8,20733,1099,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.36533405 31.57086205)"
2019,"CO","Colorado","Hinsdale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.2,NA,NA,6.3,8.3,820,8053,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-107.3002736 37.82198642)"
2019,"AL","Alabama","Fayette","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.7,NA,NA,8.8,10.5,16302,1057,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.73921374 33.72121137)"
2019,"AR","Arkansas","Crawford","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7,NA,NA,6.4,7.6,63257,5033,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-94.24297668 35.58844941)"
