"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2021,"US","United States","","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.1,NA,NA,5.9,6.2,331893745,59,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease",""
2021,"AL","Alabama","Fayette","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.9,NA,NA,6.1,7.9,16148,1057,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.7642923 33.7161568)"
2021,"KS","Kansas","Rawlins","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.8,NA,NA,8.6,11.1,2549,20153,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-101.0767378 39.7861975)"
2021,"PA","Pennsylvania","Cambria","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.8,NA,NA,5,6.6,132167,42021,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-78.7104774 40.5102268)"
2021,"NY","New York","Westchester","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,NA,NA,4.8,6.3,997895,36119,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-73.7457526 41.1526862)"
2021,"IN","Indiana","Lawrence","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.8,NA,NA,5,6.6,45070,18093,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.4878198 38.8398148)"
2021,"GA","Georgia","Bryan","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.9,NA,NA,4.2,5.6,46938,13029,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-81.4385431 32.0179692)"
2021,"ME","Maine","York","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7,NA,NA,6,8,214591,23031,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-70.6684248 43.4260188)"
2021,"PA","Pennsylvania","Beaver","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.4,NA,NA,4.7,6.2,166624,42007,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-80.3507209 40.6841401)"
2021,"HI","Hawaii","Kauai","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.6,NA,NA,4,5.1,73454,15007,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-159.7059653 22.0120383)"
2021,"CO","Colorado","Ouray","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.7,NA,NA,5.7,7.8,5035,8091,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-107.7884802 38.1547313)"
2021,"MS","Mississippi","Lauderdale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.6,NA,NA,5.7,7.4,72088,28075,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-88.6604487 32.4039981)"
2021,"MS","Mississippi","Wilkinson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.2,NA,NA,8.1,10.4,8315,28157,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-91.3246169 31.1610908)"
2021,"MN","Minnesota","Blue Earth","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.3,NA,NA,4.6,6.1,69280,27013,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-94.0640122 44.0337104)"
2021,"AR","Arkansas","Faulkner","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6,NA,NA,5.2,6.9,125106,5045,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-92.3369277 35.1465478)"
2021,"IL","Illinois","Grundy","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5,NA,NA,4.3,5.7,52989,17063,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-88.4010545 41.2924096)"
2021,"IL","Illinois","Christian","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.8,NA,NA,5,6.6,33662,17021,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-89.2795927 39.5455242)"
2021,"OR","Oregon","Polk","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,NA,NA,5.5,7.3,89164,41053,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-123.3986397 44.9003723)"
2021,"OH","Ohio","Defiance","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6,NA,NA,5.2,6.8,38144,39039,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-84.4864334 41.3216789)"
2021,"AK","Alaska","Ketchikan Gateway","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.2,NA,NA,4.6,5.9,13754,2130,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-131.1066847 55.4499378)"
2021,"KS","Kansas","McPherson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.3,NA,NA,4.6,6.1,30146,20113,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-97.6474893 38.395812)"
2021,"OH","Ohio","Putnam","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.1,NA,NA,6.1,8.1,34318,39137,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-84.1298791 41.0245334)"
2021,"MI","Michigan","Mecosta","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.1,NA,NA,5.3,7,40031,26107,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.3327509 43.6352949)"
2021,"IN","Indiana","St. Joseph","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.6,NA,NA,4.8,6.3,272212,18141,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.2880476 41.6177233)"
2021,"ID","Idaho","Clearwater","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.8,NA,NA,5,6.6,8895,16035,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-115.6535003 46.67257)"
2021,"MI","Michigan","Kalkaska","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.4,NA,NA,5.6,7.3,17979,26079,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.0889915 44.6788808)"
2021,"NC","North Carolina","Chowan","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.3,NA,NA,5.5,7.2,13722,37041,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-76.6027521 36.128979)"
2021,"ND","North Dakota","McKenzie","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.4,NA,NA,4.8,6.1,13819,38053,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-103.4032148 47.7424751)"
2021,"AL","Alabama","Dale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.6,NA,NA,6.6,8.7,49342,1045,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.609476 31.4306536)"
2021,"OK","Oklahoma","McIntosh","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.7,NA,NA,9.3,12,19245,40091,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-95.6717865 35.3691078)"
2021,"NC","North Carolina","Hyde","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.2,NA,NA,8.1,10.5,4508,37095,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-76.1536867 35.4081567)"
2021,"IL","Illinois","Massac","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.2,NA,NA,7.1,9.5,13960,17127,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-88.7056578 37.216119)"
2021,"OK","Oklahoma","Major","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.3,NA,NA,7.2,9.7,7668,40093,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-98.5420147 36.3131189)"
2021,"IN","Indiana","Steuben","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,NA,NA,6.4,8.5,34632,18151,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.0024051 41.643467)"
